Page Count, Touch Count, Fault Count, Extra Faults
2048, 396, 396, 0
2048, 397, 397, 0
2048, 398, 398, 0
2048, 399, 399, 0
2048, 400, 400, 0
2048, 401, 401, 0
2048, 402, 402, 0
2048, 403, 403, 0
2048, 404, 404, 0
2048, 405, 405, 0
2048, 406, 406, 0
2048, 407, 407, 0
2048, 408, 408, 0
2048, 409, 409, 0
2048, 410, 410, 0
2048, 411, 411, 0
2048, 412, 412, 0
2048, 413, 413, 0
2048, 414, 414, 0
2048, 415, 415, 0
2048, 416, 416, 0
2048, 417, 417, 0
2048, 418, 418, 0
2048, 419, 419, 0
2048, 420, 420, 0
2048, 421, 421, 0
2048, 422, 422, 0
2048, 423, 423, 0
